pn,eee-inst-002 part classisifcation,pkg,max junc C,junc derating C,TIM,Tjc C/W,TCB,TJB,length in,width in,smd spec,performance spec
1103r80m00000bf,osc,,175,110,a/bn,17.2,8.21508864,25.41508864,0.505,0.385
rt3pe3000l-1cg484b,,,150,110,,2.8,1.110800613,3.910800613,0.716,0.64798
ad9246,,,150,110,a/bn,10,4.642948556,14.64294856,0.5717,0.5717
rhf1401,,,125,85,a/bn,22,4.947252588,26.94725259,0.627,0.255
ad8138al (5962r0922002vha),,,150,110,a/bn,50,18.99951389,68.99951389,0.1968,0.1574
vrg8666,,,150,110,sldr,5,0.077203385,5.077203385,0.301,0.55
ut04vs33p,,,175,110,,16,40.17496216,56.17496216,0.2799,0.3799
isl70417seh,,,150,110,,15,158.0104351,173.0104351,0.26,0.39
isl71090seh12,,,150,110,,15,276.5182614,291.5182614,0.265,0.265
ad829sq,,,,,,30,,,,
rtsx72su-cq208 ,,,,,,,,,,
5962r1322001vxc ,,,,,,,,,,
ut54lvds218 ,,,,,,,,,,
sn55lvcp22a-sp ,,,,,,,,,,
ut54lvds217 ,,,,,,,,,,
rhflvdsr2d2 ,,,,,,,,,,
rt4g150-cg1657proto,,,,,,,,,,
ut8r4m39,,,,,,,,,,
tps50601-sp,,,,,,,,,,
ut8r8m8 ,,,,,,,,,,
mt29f32g08afabawp,,,,,,,,,,
2n2907aub,,,,,,,,,,
hs9-26clv32eh,,,,,,,,,,
1103b50,,,,,,,,,,
rhflvdsr2d2,,,,,,,,,,
isl71090seh50,,,,,,,,,,
m55342_12_140d_,,,,,,,,,,
ut8mr8m8-50xcc,,,,,,,,,,
1620_50m0000b_,,,,,,,,,,
xqrku060-superset_,,,,,,,,,,
1620_70m0000b_,,,,,,,,,,
ut54lvds218,,,,,,,,,,
ut54lvds032lv,,,,,,,,,,
cyrs2642kv18,,,,,,,,,,
tps7h4001-sp,,,,,,,,,,
tps7h3301-sp,,,,,,,,,,
tps7a4501hku/em,,,,,,,,,,
3d3d24g48yb2732,,,,,,,,,,
mt29f32g08afabawp-b,,,,,,,,,,
1620_200m0000b_,,,,,,,,,,
ut8r4m39-25xfc,,,,,,,,,,
hfb60hf20,,,,,,,,,,
irhnj57034,,,,,,,,,,
ae612pnb562msz,,,,,,,,,,
ae612pnb103msz,,,,,,,,,,
1n5819u,,,,,,,,,,
7511-211a,,,,,,,,,,
ae612pnb223msz,,,,,,,,,,
ae612pnb273msz,,,,,,,,,,
7511-211b,,,,,,,,,,
1n5819ur-1,,,,,,,,,,
rh3845mw-1,,,,,,,,,,
7511-211c,,,,,,,,,,
1n4625ur-1,,,,,,,,,,
irhns597260,,,,,,,,,,
y14870r05000b9w,,,,,,,,,,
irhms67260,,,,,,,,,,
y14870r01000b9r,,,,,,,,,,
irhnj57230se,,,,,,,,,,
irhlnj793034,,,,,,,,,,
